Tufts University,CS,PhD,S16,Accepted,3.6,166,163,4.5,TRUE,,American
SUNY Stony Brook,CS,MS,S16,Rejected,3.5,144,167,3,TRUE,,International
Columbia University,CS,MS,S16,Other,,,,,,,International
Columbia University,CS,PhD,S16,Other,,,,,,,International
Columbia University,CS,MS,S16,Other,,,,,,,Other
Columbia University,CS,PhD,S16,Other,,,,,,,International
Columbia University,CS,MS,S16,Other,,,,,,,
Columbia University,CS,PhD,S16,Other,,,,,,,International
Columbia University,CS,MS,S16,Other,,,,,,,
Columbia University,CS,MS,S16,Other,,,,,,,Other
Purdue University,CS,MS,S16,Rejected,3.5,156,169,3.5,TRUE,,International
Northeastern University,CS,MS,S16,Accepted,,158,163,3.5,TRUE,,International
Purdue University,CS,MS,S16,Accepted,3.5,156,169,3.5,TRUE,,International
University Of Florida Gainesville (UFL),CS,MS,S16,Accepted,3.5,156,169,3.5,TRUE,,International
Rutgers University,CS,MS,S16,Accepted,3.5,156,169,3.5,TRUE,,International
Northeastern University,CS,MS,S16,Accepted,,158,163,3.5,TRUE,,International
Iowa State University (ISU),CS,MS,S16,Rejected,,,,,,,International
Iowa State University (ISU),CS,MS,S16,Rejected,3.5,144,167,3,TRUE,,International
Duke University,CS,MS,S16,Accepted,,156,169,,TRUE,,International
Duke University,ECE,PhD,S16,Rejected,3.2,156,147,3.5,TRUE,,International
University Of Southern California (USC),ECE,MS,S16,Accepted,3.3,147,161,3.5,TRUE,,International
Auburn University,CS,MS,F16,Other,,133,139,2,TRUE,,International
Baylor University,CS,MS,S16,Other,,,,,,,International
University Of Texas Dallas (UT Dallas),CS,MS,F16,Accepted,3.91,157,169,5.5,TRUE,,International with US Degree
Purdue University,CS,MS,S16,Rejected,,162,170,3.5,TRUE,,International
University Of Florida Gainesville (UFL),CS,MS,S16,Rejected,,162,170,3.5,TRUE,,International
Rutgers University,CS,MS,S16,Accepted,,162,170,3.5,TRUE,,International
New York University (NYU),CS,MS,S16,Accepted,,,,,,,International
Cornell University,CS,MEng,S16,Rejected,,,,,,,International
Cornell University,ECE,MS,S16,Other,,,,,,,International
Carleton University,CS,MS,F16,Rejected,2.8,145,156,3,TRUE,,International
University Of Illinois Urbana-Champaign (UIUC),ECE,PhD,S16,Accepted,4.8,149,164,2.5,TRUE,,International
Cornell University,CS,MS,S16,Rejected,,,,,,,International
Columbia University,CS,MS,S16,Accepted,,,,,,,International
Auburn University,CS,MS,S16,Accepted,,,,,,,
University Of Southern California (USC),CS,MS,S16,Accepted,,,,,,,International
Cornell University,CS,MS,S16,Other,,,,,,,International
SUNY Stony Brook,CS,MS,S16,Accepted,,164,166,4.5,TRUE,,International
Purdue University,CS,MS,S16,Rejected,,,,,,,International
King Abdullah University Of Science And Technology (KAUST),CS,PhD,S16,Wait listed,,,,,,,
Purdue University,CS,PhD,S16,Rejected,,,,,,,International
Columbia University,CS,PhD,S16,Other,,,,,,,Other
Iowa State University (ISU),CS,MS,S16,Accepted,,,,,,,International
University Of Florida Gainesville (UFL),CS,MS,S16,Accepted,,,,,,,International
University Of Florida Gainesville (UFL),CS,MS,S16,Accepted,,147,167,,TRUE,,International
Columbia University,CS,PhD,S16,Other,,,,,,,International
Cornell University,CS,MEng,S16,Accepted,,,,,,,International
University Of Florida Gainesville (UFL),CS,MS,S16,Rejected,3.5,144,167,3,TRUE,,International
Rutgers University,CS,MS,S16,Accepted,3.7,155,165,4.5,TRUE,,International
Iowa State University (ISU),CS,MS,S16,Accepted,3.5,144,167,3,TRUE,,International
National University Of Singapore (NUS),CS,MS,S16,Rejected,3.5,155,160,3.5,TRUE,,International
