8,CS,PhD,S16,0.9,0.9,0.825,0.75,-1,American,Accepted
5,CS,MS,S16,0.875,0.35,0.925,0.5,-1,International,Rejected
16,CS,MS,S16,0.875,0.65,0.975,0.5833333333333334,-1,International,Rejected
16,CS,MS,S16,0.875,0.65,0.975,0.5833333333333334,-1,International,Accepted
16,CS,MS,S16,0.875,0.65,0.975,0.5833333333333334,-1,International,Accepted
16,CS,MS,S16,0.875,0.65,0.975,0.5833333333333334,-1,International,Accepted
7,CS,MS,S16,0.875,0.35,0.925,0.5,-1,International,Rejected
3,ECE,PhD,S16,0.8,0.65,0.425,0.5833333333333334,-1,International,Rejected
3,ECE,MS,S16,0.825,0.425,0.775,0.5833333333333334,-1,International,Accepted
16,CS,MS,F16,0.9775,0.675,0.975,0.9166666666666666,-1,International with US Degree,Accepted
16,CS,MS,F16,0.7,0.375,0.65,0.5,-1,International,Rejected
16,ECE,PhD,S16,0.48,0.475,0.85,0.4166666666666667,-1,International,Accepted
16,CS,MS,S16,0.875,0.35,0.925,0.5,-1,International,Rejected
16,CS,MS,S16,0.925,0.625,0.875,0.75,-1,International,Accepted
7,CS,MS,S16,0.875,0.35,0.925,0.5,-1,International,Accepted
16,CS,MS,S16,0.875,0.625,0.75,0.5833333333333334,-1,International,Rejected
3,CS,MS,S16,0.875,0.35,0.925,0.5,-1,International,Accepted
3,CS,MS,S16,0.875,0.9,0.825,0.6666666666666666,-1,International,Accepted
16,CS,MS,F15,0.925,0.55,0.8,0.75,-1,International,Accepted
16,CS,MS,S16,0.865,0.475,0.875,0.5833333333333334,-1,International,Rejected
16,CS,MS,S16,0.865,0.475,0.875,0.5833333333333334,-1,International,Accepted
3,CS,MS,S16,0.9,0.475,0.725,0.5,-1,International,Accepted
3,ECE,MS,S16,0.975,0.65,0.925,0.5833333333333334,-1,International,Accepted
16,HCI,MS,S16,0.775,0.625,0.85,0.5833333333333334,-1,International with US Degree,Accepted
3,CS,MS,S16,1.0,0.3,0.7,0.5,-1,International,Accepted
16,CS,MS,S16,0.75,0.525,0.675,0.4166666666666667,-1,International,Rejected
16,ECE,MS,S16,0.829,0.425,0.825,0.4166666666666667,-1,Other,Accepted
16,ECE,MS,S16,0.829,0.425,0.825,0.4166666666666667,-1,Other,Accepted
16,CS,MS,F16,1.0,0.675,0.975,0.75,-1,International,Accepted
5,CS,MS,S16,0.875,0.825,0.5,0.5833333333333334,-1,Other,Accepted
